variant,protocol,fold,n_train,n_test,macro_f1
nonspeech,show,18,5032,2467,0.2604182987149461
nonspeech,show,19,5080,2419,0.22412934364217188
cmvn,random,0,5625,1874,0.4858858066927687
cmvn,random,1,5625,1874,0.5184388215465009
cmvn,random,2,5625,1874,0.48626966628674695
cmvn,random,3,5625,1874,0.5043696123985382
cmvn,random,4,5625,1874,0.493364061728741
cmvn,random,5,5625,1874,0.4967949831065856
cmvn,random,6,5625,1874,0.49010859198637724
cmvn,random,7,5625,1874,0.4827584206118592
cmvn,random,8,5625,1874,0.49131557480520405
cmvn,random,9,5625,1874,0.5097941265311466
cmvn,random,10,5625,1874,0.5034783579146495
cmvn,random,11,5625,1874,0.48294857395454155
cmvn,random,12,5625,1874,0.49555181716645924
cmvn,random,13,5625,1874,0.49335780356635556
cmvn,random,14,5625,1874,0.5070497066650385
cmvn,random,15,5625,1874,0.5103448919692791
cmvn,random,16,5625,1874,0.4983035486581373
cmvn,random,17,5625,1874,0.5042927596122205
cmvn,random,18,5625,1874,0.49702608182455665
cmvn,random,19,5625,1874,0.49788434668625675
cmvn,speaker,0,5605,1894,0.48039842790964654
cmvn,speaker,1,5546,1953,0.4940647408795134
cmvn,speaker,2,5584,1915,0.49279792692528895
cmvn,speaker,3,5621,1878,0.493352612383893
cmvn,speaker,4,5602,1897,0.5067708565634486
cmvn,speaker,5,5623,1876,0.48085458251338825
cmvn,speaker,6,5621,1878,0.5018357612010341
cmvn,speaker,7,5611,1888,0.49748783210828407
cmvn,speaker,8,5545,1954,0.49379840791673213
cmvn,speaker,9,5636,1863,0.4996879437612196
cmvn,speaker,10,5644,1855,0.4932705917815519
cmvn,speaker,11,5631,1868,0.5133572138354191
cmvn,speaker,12,5619,1880,0.471209172739724
cmvn,speaker,13,5638,1861,0.5002086944627354
cmvn,speaker,14,5594,1905,0.49218262625670034
cmvn,speaker,15,5657,1842,0.4755365506685503
cmvn,speaker,16,5594,1905,0.5021966280877658
cmvn,speaker,17,5566,1933,0.48890252233297354
cmvn,speaker,18,5618,1881,0.47485868298816225
cmvn,speaker,19,5701,1798,0.4821946330128623
cmvn,show,0,5463,2036,0.27568984696055887
cmvn,show,1,3830,3669,0.25960568555821406
cmvn,show,2,5957,1542,0.35950922924103
cmvn,show,3,5699,1800,0.30395217243471095
cmvn,show,4,4507,2992,0.2958907590638875
cmvn,show,5,5408,2091,0.2925241735473712
cmvn,show,6,3244,4255,0.29047162727803133
cmvn,show,7,6811,688,0.38367398389156904
cmvn,show,8,5057,2442,0.23837136482521873
cmvn,show,9,6576,923,0.40995698146580173
cmvn,show,10,5845,1654,0.3139035058281301
cmvn,show,11,5912,1587,0.3648291857972268
cmvn,show,12,4730,2769,0.23375788698481248
cmvn,show,13,6605,894,0.3789528030227905
cmvn,show,14,5825,1674,0.2930562444565072
cmvn,show,15,5833,1666,0.3318772019250773
cmvn,show,16,4197,3302,0.2755883235557086
cmvn,show,17,6352,1147,0.335990634971202
cmvn,show,18,5032,2467,0.24923259790671806
cmvn,show,19,5080,2419,0.19588924254717177
