corpus,variant,unit,supervised,drop,silhouette,sil_gap,pca_top3,nn_same,nn_chance,nn_lift
aydid,full,programme,0.183,0.018,0.130580265191028,0.11631371904294292,0.4334600055958746,0.5791182391931953,0.18136597601814122,0.3977522631750541
sadic_country,full,country,0.716,0.335,0.1293401073902818,0.11295673270573474,0.45103083474722966,0.8688454281841644,0.20688832552278388,0.6619571026613805
sadic_condition,full,condition,0.625,0.212,0.1364109602197791,0.12024764390655532,0.45251554377719144,0.8743857817140199,0.4427414122917231,0.43164436942229684
sada,full,programme,0.516,0.275,0.1419561497316035,0.1265033348926791,0.49511873740684714,0.6051481392557023,0.14958982076084218,0.45555831849486017
