tag,n,k,random,source,drop,wins,folds,sd
full,12150,17,0.4547026546929575,0.21149527331589296,0.2432073813770645,20,20,0.061477822767581694
low-energy,12150,17,0.4116468354882211,0.19659445422819025,0.21505238126003084,20,20,0.0761750989698321
