analysis,arm,trio,n,k,inc,wins,folds,rand,spk,src,src_sd,n_sources
A1,AYDID,YEM_HA/YEM_ST/YEM_TI,750,3,0.005174477118557208,12,20,0.8364875402133313,0.8092318455832546,0.8040573684646974,0.042527219480294726,16
A1,AYDID,YEM_BA/YEM_SA/YEM_TA,750,3,0.022354498925553863,12,20,0.7010401518854619,0.6831762751332008,0.660821776207647,0.053741054006718525,17
A1,AYDID,YEM_BA/YEM_HA/YEM_ST,750,3,-0.005145608795005951,6,20,0.82748540328423,0.8051022980722455,0.8102479068672516,0.07789497007442245,18
A1,AYDID,YEM_HA/YEM_ST/YEM_TA,750,3,0.0003651249765033282,12,20,0.8050621634221786,0.7710980058106032,0.7707328808340999,0.033478329840685044,18
A1,AYDID,YEM_BA/YEM_ST/YEM_TA,750,3,0.004718431101497789,6,20,0.8726763783001745,0.8520039039158138,0.8472854728143162,0.06850252159678975,18
A1,AYDID,YEM_BA/YEM_HA/YEM_SA,750,3,0.007513675568943548,10,20,0.6975034929863029,0.6420899524331781,0.6345762768642345,0.08028972943557582,17
A2,unit-disjoint,,1783,3,0.25557793430588355,19,20,0.6539656094038995,0.64212860065413,0.3865506663482464,0.10954940990923323,38
A2,file-disjoint,,1783,3,0.2413362439064822,19,20,0.6539656094038995,0.6278869102547288,0.3865506663482464,0.10954940990923323,38
