corpus,draw,n,cpu,spk,src,inc,wins,folds,trio
SADA_S,0,1179,5.0,0.642401369395501,0.34597841465132845,0.29642295474417224,20,20,
SADA_S,1,1178,5.0,0.6248028133632657,0.3421461733191915,0.2826566400440741,20,20,
SADA_S,2,1177,5.0,0.6528049268928815,0.33067173558325663,0.32213319130962487,20,20,
SADA_S,3,1177,5.0,0.6540959614191332,0.31415688240064943,0.3399390790184836,20,20,
SADA_S,4,1179,5.0,0.643967840531306,0.42134605282369186,0.22262178770761398,20,20,
SADA_S,5,1177,5.0,0.6466478738825888,0.3416809355266612,0.3049669383559277,20,20,
SADA_S,6,1177,5.0,0.651597783387887,0.4209467559614836,0.23065102742640323,19,20,
SADA_S,7,1177,5.0,0.6362928965276838,0.3075251356340778,0.3287677608936058,20,20,
SADA_S,8,1179,5.0,0.6423114469525837,0.34947866833313923,0.29283277861944434,20,20,
SADA_S,9,1176,5.0,0.6708045828583578,0.3934918364780198,0.27731274638033804,20,20,
SADA_S,10,1179,5.0,0.631922775497913,0.3337346238332074,0.2981881516647055,20,20,
SADA_S,11,1178,5.0,0.6568498689358492,0.31396155527023856,0.3428883136656105,20,20,
SADA_S,12,1177,5.0,0.637668005450992,0.3582966733247412,0.2793713321262507,20,20,
SADA_S,13,1178,5.0,0.632302651540971,0.34694425532493656,0.2853583962160344,20,20,
SADA_S,14,1182,5.0,0.6491638796332521,0.3667696880848282,0.2823941915484239,20,20,
SADA_S,15,1178,5.0,0.6297769018231265,0.3828837332199519,0.24689316860317448,20,20,
SADA_S,16,1180,5.0,0.6524264685710286,0.3318061485769691,0.3206203199940595,20,20,
SADA_S,17,1180,5.0,0.6159108717720787,0.35630091575066564,0.25960995602141307,20,20,
SADA_S,18,1174,5.0,0.6521035199457192,0.3373889637950992,0.31471455615062,20,20,
SADA_S,19,1180,5.0,0.6420190126140641,0.3443454680299526,0.2976735445841114,20,20,
AYDID,0,1050,50.0,0.652293632612789,0.6890272818687022,-0.03673364925591322,8,20,YEM_HA/YEM_ST/YEM_TI
AYDID,1,1050,50.0,0.7884073281883919,0.5599431703285197,0.22846415785987223,20,20,YEM_BA/YEM_SA/YEM_TA
AYDID,2,1050,50.0,0.6878659981742319,0.7033980945242284,-0.015532096349996461,9,20,YEM_BA/YEM_HA/YEM_ST
AYDID,3,1050,50.0,0.6325055490479758,0.5449613721588824,0.08754417688909337,13,20,YEM_HA/YEM_ST/YEM_TA
AYDID,4,1050,50.0,0.7533428631209041,0.6940603062552905,0.05928255686561361,12,20,YEM_BA/YEM_ST/YEM_TA
AYDID,5,1050,50.0,0.5842529612043983,0.5672246178402884,0.017028343364109837,10,20,YEM_BA/YEM_HA/YEM_SA
AYDID,6,1048,50.0,0.4853709071471705,0.5383767957273177,-0.05300588858014708,10,20,YEM_AD/YEM_SA/YEM_TA
AYDID,7,1048,50.0,0.799010125439838,0.7698135156503803,0.02919660978945764,11,20,YEM_AD/YEM_BA/YEM_ST
AYDID,8,1050,50.0,0.4878213150316479,0.5587873508673773,-0.07096603583572939,6,20,YEM_AD/YEM_SA/YEM_TI
AYDID,9,1049,50.0,0.4549686961583485,0.4763487270130331,-0.02138003085468455,9,20,YEM_HA/YEM_SA/YEM_TI
AYDID,10,1050,50.0,0.6773916882073217,0.6861333522451725,-0.008741664037850861,10,20,YEM_HA/YEM_SA/YEM_ST
AYDID,11,1050,50.0,0.7854008668993654,0.7731519458356234,0.012248921063741813,13,20,YEM_ST/YEM_TA/YEM_TI
AYDID,12,1050,50.0,0.6909640132037109,0.7393102801447836,-0.04834626694107263,5,20,YEM_SA/YEM_ST/YEM_TI
AYDID,13,1050,50.0,0.4461728072808372,0.3698419250909722,0.07633088218986513,16,20,YEM_HA/YEM_SA/YEM_TA
AYDID,14,1050,50.0,0.6383370111398472,0.609031782328511,0.029305228811336154,14,20,YEM_HA/YEM_TA/YEM_TI
AYDID,15,1049,50.0,0.5399151009547736,0.46659048113186063,0.07332461982291304,13,20,YEM_AD/YEM_HA/YEM_TI
AYDID,16,1050,50.0,0.674617136617982,0.6768328950247278,-0.0022157584067459433,10,20,YEM_AD/YEM_ST/YEM_TI
AYDID,17,1049,50.0,0.6318863800959026,0.45412034218183167,0.17776603791407075,20,20,YEM_AD/YEM_HA/YEM_SA
AYDID,18,1050,50.0,0.6498730099488459,0.6154563906724607,0.034416619276385174,9,20,YEM_BA/YEM_HA/YEM_TA
AYDID,19,1050,50.0,0.5725665936090929,0.701804117346216,-0.12923752373712288,2,20,YEM_AD/YEM_TA/YEM_TI
