corpus,encoder,folds,acoustic,acoustic_sd,enc_full,enc_pca,diff_full,diff_pca,wins_full,wins_pca,evr
aydid,wavlm,20,0.5603721759475746,0.05720730274254451,0.81001426676503,0.7022624034712006,0.24964209081745525,0.14189022752362596,20,20,0.5439197719097137
aydid,xlsr,20,0.5603721759475746,0.05720730274254451,0.8247837211740976,0.7143977726800312,0.2644115452265229,0.15402559673245672,20,20,0.6007490783929825
sada,wavlm,20,0.2972423303624409,0.07323533064610004,0.33945068818287644,0.32985939165334155,0.042208357820435534,0.03261706129090065,15,13,0.536358442902565
sada,xlsr,20,0.2972423303624409,0.07323533064610004,0.34612640320556776,0.34925722290821526,0.04888407284312685,0.052014892545774294,15,16,0.5962566614151001
